DEBUG 2025-08-06 21:44:20,062 autoreload File /opt/anaconda3/lib/python3.12/html/parser.py first seen with mtime 1728049824.977481
DEBUG 2025-08-06 21:44:20,062 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/sqlparse/keywords.py first seen with mtime 1754494238.5332837
DEBUG 2025-08-06 21:44:20,062 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/sqlparse/engine/__init__.py first seen with mtime 1754494238.5399458
DEBUG 2025-08-06 21:44:20,062 autoreload File /opt/anaconda3/lib/python3.12/fractions.py first seen with mtime 1728049823.7689524
DEBUG 2025-08-06 21:44:20,062 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/__init__.py first seen with mtime 1754494238.80871
DEBUG 2025-08-06 21:44:20,062 autoreload File /opt/anaconda3/lib/python3.12/email/iterators.py first seen with mtime 1728049824.4683423
DEBUG 2025-08-06 21:44:20,062 autoreload File /opt/anaconda3/lib/python3.12/selectors.py first seen with mtime 1728049823.965193
DEBUG 2025-08-06 21:44:20,063 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/db/models/sql/subqueries.py first seen with mtime 1754494248.52586
DEBUG 2025-08-06 21:44:20,063 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/django/template/defaulttags.py first seen with mtime 1754494248.7927363
DEBUG 2025-08-06 21:44:20,063 autoreload File /Users/Bebila Singh/dd_ko_maya/venv/lib/python3.12/site-packages/sqlparse/engine/grouping.py first seen with mtime 1754494238.541141
DEBUG 2025-08-06 21:44:20,063 autoreload File /opt/anaconda3/lib/python3.12/asyncio/tasks.py first seen with mtime 1728049824.258537
DEBUG 2025-08-06 21:44:20,063 autoreload File /opt/anaconda3/lib/python3.12/dis.py first seen with mtime 1728049823.7489474
DEBUG 2025-08-06 21:44:20,063 autoreload File /opt/anaconda3/lib/python3.12/lib-dynload/unicodedata.cpython-312-darwin.so first seen with mtime 1728049874.6990628
